Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Energy (dB)	Freq 95% (Hz)	Max Entropy (bits)	Max Power (dB)	Min Entropy (bits)	Peak Freq (Hz)	Peak Power (dB)
1	Waveform 1	1	0.223792560	0.290230977	3920.0	11515.0							
1	Spectrogram 1	1	0.223792560	0.290230977	3920.0	11515.0	83.1	8957.8	5.441	68.7	4.875	5598.6	68.7
2	Waveform 1	1	0.419611051	0.500036502	4410.0	10902.5							
2	Spectrogram 1	1	0.419611051	0.500036502	4410.0	10902.5	86.0	8699.4	5.302	74.1	4.460	5426.4	74.1
3	Waveform 1	1	0.702848510	0.765790167	3675.0	17640.0							
3	Spectrogram 1	1	0.702848510	0.765790167	3675.0	17640.0	84.3	8699.4	5.843	71.9	4.881	5254.1	71.9
4	Waveform 1	1	0.933634587	1.021.053.556	3307.5	17150.0							
4	Spectrogram 1	1	0.933634587	1.021.053.556	3307.5	17150.0	88.6	9043.9	5.747	73.6	4.672	5426.4	73.6
5	Waveform 1	1	1.150.433.630	1.227.362.323	2968.3	14841.3							
5	Spectrogram 1	1	1.150.433.630	1.227.362.323	2968.3	14841.3	91.8	8699.4	5.586	78.3	4.815	5512.5	78.3
6	Waveform 1	1	1.395.206.743	1.475.632.194	4876.4	17809.6							
6	Spectrogram 1	1	1.395.206.743	1.475.632.194	4876.4	17809.6	95.5	9043.9	5.317	84.0	4.638	4995.7	84.0
7	Waveform 1	1	1.608.509.027	1.685.437.720	4876.4	14629.3							
7	Spectrogram 1	1	1.608.509.027	1.685.437.720	4876.4	14629.3	99.1	9474.6	5.606	86.7	4.877	5943.2	86.7
8	Waveform 1	1	2.028.120.078	2.105.048.770	4664.4	15689.4							
8	Spectrogram 1	1	2.028.120.078	2.105.048.770	4664.4	15689.4	99.1	10508.2	5.471	88.6	4.433	5770.9	88.6
9	Waveform 1	1	2.482.698.716	2.528.156.579	4876.4	16113.5							
9	Spectrogram 1	1	2.482.698.716	2.528.156.579	4876.4	16113.5	97.1	10249.8	5.670	86.9	4.781	5426.4	86.9
10	Waveform 1	1	2.856.851.902	2.933.780.595	4240.4	15265.4							
10	Spectrogram 1	1	2.856.851.902	2.933.780.595	4240.4	15265.4	99.6	8785.5	5.295	89.0	4.633	6201.6	89.0
11	Waveform 1	1	3.178.259.785	3.262.181.995	3180.3	17809.6							
11	Spectrogram 1	1	3.178.259.785	3.262.181.995	3180.3	17809.6	102.5	9130.1	5.662	91.9	4.896	6201.6	91.9
12	Waveform 1	1	3.412.542.622	3.489.471.314	3392.3	17809.6							
12	Spectrogram 1	1	3.412.542.622	3.489.471.314	3392.3	17809.6	104.1	10077.5	5.778	91.2	4.926	5081.8	91.2
13	Waveform 1	1	3.744.734.703	3.835.650.431	4876.4	16961.5							
13	Spectrogram 1	1	3.744.734.703	3.835.650.431	4876.4	16961.5	99.9	9474.6	5.253	90.8	4.363	5770.9	90.8
14	Waveform 1	1	4.017.481.886	4.097.907.338	4664.4	17173.6							
14	Spectrogram 1	1	4.017.481.886	4.097.907.338	4664.4	17173.6	102.6	9474.6	5.247	92.1	4.044	5426.4	92.1
15	Waveform 1	1	4.279.738.793	4.363.661.003	4664.4	18657.7							
15	Spectrogram 1	1	4.279.738.793	4.363.661.003	4664.4	18657.7	101.8	9733.0	5.448	91.6	4.399	5943.2	91.6
16	Waveform 1	1	4.552.485.976	4.632.911.427	4664.4	18021.6							
16	Spectrogram 1	1	4.552.485.976	4.632.911.427	4664.4	18021.6	103.0	9646.9	5.244	91.7	4.053	5770.9	91.7
17	Waveform 1	1	4.849.955.511	4.933.877.721	4664.4	15265.4							
17	Spectrogram 1	1	4.849.955.511	4.933.877.721	4664.4	15265.4	104.9	9905.3	5.150	97.2	4.251	5426.4	97.2
18	Waveform 1	1	5.126.199.452	5.210.121.662	4028.4	18021.6							
18	Spectrogram 1	1	5.126.199.452	5.210.121.662	4028.4	18021.6	104.8	9646.9	5.499	95.4	4.576	5168.0	95.4
19	Waveform 1	1	5.426.920.705	5.517.836.433	4240.4	15265.4							
19	Spectrogram 1	1	5.426.920.705	5.517.836.433	4240.4	15265.4	103.4	9733.0	5.354	93.9	4.164	5770.9	93.9
20	Waveform 1	1	5.647.216.507	5.731.138.717	3604.3	15265.4							
20	Spectrogram 1	1	5.647.216.507	5.731.138.717	3604.3	15265.4	105.2	9646.9	5.554	94.8	4.245	5770.9	94.8
21	Waveform 1	1	5.937.447.483	6.031.859.970	3816.3	15901.4							
21	Spectrogram 1	1	5.937.447.483	6.031.859.970	3816.3	15901.4	104.3	10163.7	5.708	95.0	4.367	5943.2	95.0
22	Waveform 1	1	6.196.207.631	6.283.626.600	3604.3	16325.5							
22	Spectrogram 1	1	6.196.207.631	6.283.626.600	3604.3	16325.5	104.1	9905.3	5.553	93.0	4.734	5857.0	93.0
23	Waveform 1	1	6.517.909.437	6.594.838.129	4876.4	16749.5							
23	Spectrogram 1	1	6.517.909.437	6.594.838.129	4876.4	16749.5	102.6	10249.8	5.232	92.2	4.165	5426.4	92.2
24	Waveform 1	1	6.794.153.378	6.874.578.830	4028.4	15689.4							
24	Spectrogram 1	1	6.794.153.378	6.874.578.830	4028.4	15689.4	103.3	10077.5	5.879	90.7	4.770	6287.7	90.7
25	Waveform 1	1	7.087.881.114	7.168.306.565	4240.4	15265.4							
25	Spectrogram 1	1	7.087.881.114	7.168.306.565	4240.4	15265.4	102.0	9905.3	5.623	91.7	4.384	6287.7	91.7
26	Waveform 1	1	7.381.608.849	7.472.524.577	4028.4	14841.3							
26	Spectrogram 1	1	7.381.608.849	7.472.524.577	4028.4	14841.3	101.9	9905.3	5.296	90.2	4.683	6373.8	90.2
27	Waveform 1	1	7.689.323.372	7.766.252.065	3816.3	15689.4							
27	Spectrogram 1	1	7.689.323.372	7.766.252.065	3816.3	15689.4	102.6	10422.1	5.633	90.5	4.855	5943.2	90.5
28	Waveform 1	1	7.938.087.842	8.025.506.811	3604.3	16113.5							
28	Spectrogram 1	1	7.938.087.842	8.025.506.811	3604.3	16113.5	103.1	10077.5	5.563	93.7	4.562	5512.5	93.7
29	Waveform 1	1	8.217.828.542	8.308.744.270	3604.3	15477.4							
29	Spectrogram 1	1	8.217.828.542	8.308.744.270	3604.3	15477.4	104.9	9819.1	5.755	96.0	4.732	5770.9	96.0
30	Waveform 1	1	8.487.078.966	8.567.504.418	4664.4	15689.4							
30	Spectrogram 1	1	8.487.078.966	8.567.504.418	4664.4	15689.4	104.7	10335.9	5.377	92.9	4.728	5340.2	92.9
31	Waveform 1	1	8.798.290.495	8.899.696.499	4028.4	17173.6							
31	Spectrogram 1	1	8.798.290.495	8.899.696.499	4028.4	17173.6	104.5	10077.5	5.681	93.6	4.793	5426.4	93.6
32	Waveform 1	1	9.106.005.266	9.210.908.028	4028.4	17809.6							
32	Spectrogram 1	1	9.106.005.266	9.210.908.028	4028.4	17809.6	101.4	10422.1	5.869	89.9	4.872	5943.2	89.9
33	Waveform 1	1	9.420.713.554	9.532.609.834	4876.4	14417.3							
33	Spectrogram 1	1	9.420.713.554	9.532.609.834	4876.4	14417.3	104.4	9991.4	5.275	95.0	4.183	5512.5	95.0
34	Waveform 1	1	9.700.454.254	9.773.886.188	3604.3	16537.5							
34	Spectrogram 1	1	9.700.454.254	9.773.886.188	3604.3	16537.5	102.6	9991.4	5.720	89.9	4.686	5943.2	89.9
35	Waveform 1	1	9.955.717.643	10.039.639.853	4028.4	15689.4							
35	Spectrogram 1	1	9.955.717.643	10.039.639.853	4028.4	15689.4	102.4	9216.2	5.295	92.3	4.586	5426.4	92.3
36	Waveform 1	1	10.193.497.238	10.305.393.519	5300.5	15477.4							
36	Spectrogram 1	1	10.193.497.238	10.305.393.519	5300.5	15477.4	104.3	9991.4	5.527	94.4	4.101	6287.7	94.4
37	Waveform 1	1	10.564.153.666	10.641.082.359	3816.3	16325.5							
37	Spectrogram 1	1	10.564.153.666	10.641.082.359	3816.3	16325.5	105.1	9733.0	5.541	98.1	4.222	5426.4	98.1
